PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
2703,333222.805,1964289.201,17.75961601,-64.57313163,-41.400, ,1.670
2704,333223.128,1964288.584,17.75961046,-64.57312853,-41.402, ,1.660
2705,333223.607,1964287.845,17.75960382,-64.57312396,-41.737, ,1.450
2706,333224.274,1964287.545,17.75960116,-64.57311764,-41.494, ,1.520
2707,333224.872,1964287.105,17.75959723,-64.57311197,-41.574, ,1.740
2708,333225.570,1964286.590,17.75959263,-64.57310535,-41.570, ,1.490
2709,333226.374,1964286.038,17.75958770,-64.57309772,-41.593, ,1.390
2710,333227.036,1964285.561,17.75958344,-64.57309144,-41.346, ,1.850
2711,333227.561,1964284.738,17.75957604,-64.57308643,-41.638, ,1.610
2712,333228.183,1964284.223,17.75957144,-64.57308052,-41.271, ,1.820
2713,333228.572,1964283.542,17.75956531,-64.57307680,-41.269, ,1.720
2714,333228.908,1964282.844,17.75955903,-64.57307357,-41.648, ,1.510
2715,333229.623,1964282.511,17.75955608,-64.57306681,-41.512, ,1.320
2716,333230.299,1964282.016,17.75955166,-64.57306039,-41.503, ,1.690
2717,333230.839,1964281.406,17.75954619,-64.57305525,-41.495, ,1.740
2718,333231.441,1964280.772,17.75954050,-64.57304952,-41.701, ,1.630
2719,333232.206,1964280.313,17.75953641,-64.57304227,-41.590, ,1.670
2720,333232.804,1964279.797,17.75953180,-64.57303659,-41.551, ,1.690
2721,333233.394,1964278.938,17.75952408,-64.57303096,-41.388, ,1.830
2722,333234.003,1964278.382,17.75951910,-64.57302518,-41.610, ,1.570
2723,333234.582,1964277.847,17.75951431,-64.57301967,-41.462, ,1.570
