PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
4809,328882.776,1961534.667,17.73439529,-64.61383429,-42.163, ,1.460
4810,328883.457,1961535.137,17.73439959,-64.61382791,-42.160, ,1.090
4811,328884.118,1961535.562,17.73440348,-64.61382171,-42.149, ,1.120
4812,328884.682,1961535.981,17.73440731,-64.61381642,-42.111, ,1.120
4813,328885.196,1961536.373,17.73441089,-64.61381161,-42.109, ,1.210
4814,328885.650,1961536.758,17.73441441,-64.61380736,-42.116, ,1.200
4815,328886.181,1961537.337,17.73441968,-64.61380240,-42.125, ,1.230
4816,328886.584,1961537.645,17.73442249,-64.61379863,-42.150, ,1.140
4817,328887.241,1961538.218,17.73442772,-64.61379248,-42.104, ,1.290
4818,328887.619,1961538.670,17.73443184,-64.61378895,-42.153, ,1.180
4819,328887.600,1961539.395,17.73443838,-64.61378919,-42.131, ,1.320
4820,328887.566,1961539.852,17.73444251,-64.61378955,-42.120, ,1.370
4821,328887.805,1961540.535,17.73444870,-64.61378735,-42.114, ,1.320
4822,328888.061,1961540.755,17.73445071,-64.61378495,-42.141, ,1.360
4823,328888.471,1961540.981,17.73445278,-64.61378110,-42.138, ,1.390
4824,328888.790,1961540.904,17.73445211,-64.61377809,-42.098, ,1.420
4825,328889.191,1961540.795,17.73445116,-64.61377430,-42.118, ,1.320
4826,328889.548,1961540.481,17.73444835,-64.61377091,-42.148, ,1.420
4827,328889.752,1961539.990,17.73444393,-64.61376895,-42.149, ,1.390
4828,328889.933,1961539.458,17.73443913,-64.61376720,-42.092, ,1.430
4829,328890.042,1961538.915,17.73443424,-64.61376613,-42.131, ,1.370
4830,328890.237,1961538.418,17.73442976,-64.61376425,-42.105, ,1.450
4831,328890.527,1961538.081,17.73442674,-64.61376148,-42.109, ,1.420
4832,328890.783,1961537.840,17.73442458,-64.61375905,-42.108, ,1.430
4833,328891.089,1961537.495,17.73442149,-64.61375614,-42.061, ,1.390
4834,328891.111,1961537.126,17.73441816,-64.61375590,-42.113, ,1.260
4835,328891.100,1961536.655,17.73441390,-64.61375597,-42.125, ,1.300
4836,328890.950,1961536.181,17.73440961,-64.61375734,-42.084, ,1.360
4837,328890.761,1961535.696,17.73440521,-64.61375909,-42.079, ,1.330
4838,328890.458,1961535.154,17.73440029,-64.61376190,-42.153, ,1.210
4839,328890.152,1961534.586,17.73439513,-64.61376474,-42.088, ,1.240
4840,328889.759,1961534.125,17.73439094,-64.61376841,-42.155, ,1.150
4841,328889.363,1961533.699,17.73438706,-64.61377210,-42.135, ,1.200
4842,328888.861,1961533.289,17.73438331,-64.61377680,-42.092, ,1.370
4843,328888.380,1961532.877,17.73437955,-64.61378131,-42.065, ,1.240
4844,328887.837,1961532.485,17.73437597,-64.61378639,-42.096, ,1.390
4845,328887.292,1961532.129,17.73437271,-64.61379150,-42.122, ,1.370
4846,328886.500,1961531.891,17.73437050,-64.61379895,-42.126, ,1.320
4847,328885.707,1961531.606,17.73436786,-64.61380641,-42.074, ,1.400
4848,328884.939,1961531.240,17.73436450,-64.61381362,-42.140, ,1.290
4849,328884.122,1961530.952,17.73436183,-64.61382130,-42.144, ,1.120
4850,328883.206,1961530.614,17.73435871,-64.61382991,-42.105, ,1.180
4851,328882.220,1961530.177,17.73435468,-64.61383917,-42.152, ,1.360
4852,328880.514,1961529.305,17.73434667,-64.61385518,-42.122, ,1.200
4853,328879.687,1961528.740,17.73434150,-64.61386293,-42.132, ,1.200
4854,328878.853,1961528.282,17.73433730,-64.61387076,-42.114, ,1.120
4855,328877.856,1961527.847,17.73433329,-64.61388012,-42.153, ,1.230
4856,328877.000,1961527.246,17.73432779,-64.61388815,-42.151, ,1.290
4857,328876.115,1961526.663,17.73432246,-64.61389644,-42.119, ,1.260
4858,328875.087,1961526.135,17.73431761,-64.61390609,-42.172, ,1.240
4859,328874.176,1961525.502,17.73431182,-64.61391463,-42.106, ,1.360
4860,328873.259,1961524.908,17.73430638,-64.61392323,-42.161, ,1.270
4861,328872.308,1961524.298,17.73430079,-64.61393215,-42.161, ,1.240
4862,328871.231,1961523.463,17.73429317,-64.61394223,-42.160, ,1.210
4863,328870.276,1961522.965,17.73428859,-64.61395120,-42.205, ,1.270
4864,328869.348,1961522.314,17.73428264,-64.61395989,-42.156, ,1.210
4865,328868.512,1961521.617,17.73427628,-64.61396772,-42.137, ,1.230
4866,328867.621,1961521.089,17.73427144,-64.61397608,-42.195, ,1.180
4867,328866.758,1961520.447,17.73426557,-64.61398416,-42.113, ,1.290
4868,328865.891,1961519.817,17.73425981,-64.61399229,-42.068, ,1.370
4869,328864.995,1961519.283,17.73425491,-64.61400069,-42.153, ,1.260
4870,328864.063,1961518.682,17.73424941,-64.61400943,-42.024, ,1.360
4871,328863.213,1961518.062,17.73424374,-64.61401739,-42.104, ,1.420
4872,328862.150,1961517.402,17.73423770,-64.61402736,-42.070, ,1.260
4873,328861.176,1961516.861,17.73423273,-64.61403650,-42.126, ,1.140
4874,328860.269,1961516.317,17.73422775,-64.61404501,-42.123, ,1.180
4875,328859.289,1961515.759,17.73422263,-64.61405420,-42.101, ,1.060
4876,328858.466,1961515.092,17.73421654,-64.61406191,-42.115, ,1.140
4877,328857.450,1961514.310,17.73420940,-64.61407143,-42.183, ,1.170
4878,328856.729,1961513.776,17.73420452,-64.61407818,-42.151, ,1.170
4879,328855.914,1961513.014,17.73419757,-64.61408580,-42.110, ,1.090
4880,328855.130,1961512.230,17.73419042,-64.61409313,-42.168, ,1.120
4881,328854.267,1961511.522,17.73418396,-64.61410121,-42.181, ,1.080
4882,328853.341,1961510.785,17.73417723,-64.61410988,-42.174, ,1.170
4883,328852.485,1961510.155,17.73417147,-64.61411790,-42.154, ,1.080
4884,328851.697,1961509.587,17.73416628,-64.61412528,-42.089, ,0.900
4885,328850.887,1961509.009,17.73416099,-64.61413287,-42.088, ,0.870
4886,328850.067,1961508.522,17.73415653,-64.61414057,-42.182, ,0.800
4887,328849.182,1961507.951,17.73415130,-64.61414886,-42.091, ,1.000
4888,328848.072,1961507.452,17.73414671,-64.61415929,-42.178, ,0.990
4889,328847.055,1961506.671,17.73413957,-64.61416882,-42.058, ,1.020
4890,328846.315,1961506.162,17.73413491,-64.61417575,-42.119, ,1.030
