PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
P358,333304.605,1963200.170,17.74978223,-64.57227431,-41.448,-0.173, 
P359,333304.510,1963200.138,17.74978194,-64.57227520,-41.466,-0.191, 
P360,333306.051,1963199.316,17.74977463,-64.57226061,-41.635,-0.360, 
P361,333307.416,1963198.732,17.74976945,-64.57224769,-41.854,-0.579, 
P362,333307.333,1963198.691,17.74976907,-64.57224847,-41.852,-0.577, 
P363,333308.472,1963198.000,17.74976292,-64.57223768,-42.194,-0.919, 
P364,333309.327,1963197.275,17.74975643,-64.57222955,-42.318,-1.043, 
P365,333310.228,1963196.337,17.74974802,-64.57222099,-42.387,-1.112, 
P366,333311.215,1963195.358,17.74973925,-64.57221161,-42.485,-1.209, 
P367,333312.039,1963194.444,17.74973106,-64.57220376,-42.584,-1.309, 
