pid,UTMx,UTMy,h
494,327303.930721,1967797.533664,-38.972000
495,327303.500162,1967797.768724,-38.890000
496,327302.993296,1967798.007768,-38.862000
497,327302.399130,1967798.083766,-38.932000
498,327301.711204,1967797.985707,-38.918000
499,327300.882339,1967797.774873,-38.854000
500,327299.917526,1967797.537552,-38.884000
501,327299.030064,1967797.660370,-38.921000
502,327298.051788,1967797.826036,-38.901000
503,327297.035059,1967798.325179,-38.843000
504,327296.427314,1967798.790885,-38.776000
505,327295.666059,1967799.283381,-38.780000
506,327294.989677,1967799.903526,-38.858000
507,327294.435528,1967800.558026,-39.008000
508,327293.695582,1967801.184258,-38.844000
509,327293.416085,1967801.964759,-38.922000
510,327292.890271,1967802.707556,-38.989000
511,327292.576345,1967803.552550,-38.971000
512,327292.128002,1967804.425275,-38.871000
513,327292.028360,1967805.526287,-38.822000
514,327291.762255,1967806.627640,-38.791000
515,327291.377340,1967807.600531,-38.843000
516,327291.114148,1967808.549122,-38.916000
517,327290.563109,1967809.439341,-38.909000
518,327290.355260,1967810.411800,-38.963000
519,327290.212762,1967811.217673,-38.947000
520,327290.129300,1967811.984295,-38.855000
521,327290.198480,1967812.746271,-38.950000
522,327290.162466,1967813.604344,-38.914000
523,327289.921493,1967814.425461,-38.958000
524,327289.797235,1967815.012032,-38.666000
525,327289.900464,1967815.421753,-38.872000
526,327289.925463,1967816.102210,-38.934000
527,327289.977836,1967816.760293,-38.953000
528,327289.944399,1967817.426869,-39.007000
529,327289.647920,1967818.205304,-39.143000
530,327289.688384,1967818.591221,-39.129000
531,327289.817118,1967818.885615,-38.998000
532,327289.943010,1967819.097024,-39.040000
533,327289.803632,1967819.529882,-39.537000
534,327287.370571,1967828.838083,-38.751000
535,327286.053348,1967830.019406,-38.991000
536,327285.650115,1967830.226560,-38.834000
537,327285.276616,1967830.438989,-38.702000
538,327285.006853,1967830.753448,-38.681000
539,327284.598537,1967831.229595,-38.868000
540,327284.098816,1967831.924574,-38.809000
541,327283.474519,1967832.681509,-38.938000
542,327283.054541,1967833.645851,-38.964000
543,327282.831619,1967834.591878,-38.950000
544,327282.602519,1967835.558988,-38.893000
545,327282.558812,1967836.507885,-38.872000
546,327282.595643,1967837.451654,-38.896000
547,327282.725321,1967838.342598,-38.856000
548,327283.018140,1967839.094882,-38.907000
549,327283.276868,1967839.828647,-38.811000
550,327283.767788,1967840.316900,-38.951000
551,327284.083645,1967840.914033,-38.814000
552,327284.429336,1967841.284016,-38.770000
553,327284.901436,1967841.558823,-39.002000
554,327285.357339,1967842.044061,-38.771000
555,327285.967808,1967842.257899,-38.929000
556,327286.416021,1967842.712213,-38.886000
557,327286.886271,1967842.896279,-38.882000
558,327287.421899,1967843.038827,-39.030000
559,327287.968520,1967843.470150,-38.772000
560,327288.682026,1967843.461735,-38.955000
561,327289.373109,1967843.679299,-38.717000
562,327290.179036,1967843.691110,-38.924000
563,327290.854207,1967843.907706,-38.845000
564,327291.649809,1967844.073450,-38.854000
565,327292.452166,1967844.284513,-38.803000
566,327293.237176,1967844.451456,-38.827000
567,327294.043573,1967844.639242,-38.881000
568,327294.684121,1967844.898197,-38.743000
569,327295.421750,1967844.981436,-38.912000
570,327296.344537,1967845.263394,-39.021000
571,327296.852112,1967845.716086,-38.909000
572,327297.759833,1967846.094465,-39.023000
573,327298.481860,1967846.578497,-38.847000
574,327299.243485,1967846.860749,-38.838000
575,327299.975798,1967847.186421,-38.895000
576,327300.798858,1967847.461498,-38.784000
577,327301.666497,1967847.619976,-38.918000
578,327302.333808,1967848.030328,-38.826000
579,327303.082248,1967848.259569,-38.954000
580,327303.630738,1967848.662100,-38.951000
581,327304.185965,1967849.107737,-38.875000
582,327304.782985,1967849.482177,-38.904000
583,327305.368650,1967849.892132,-38.942000
584,327305.966806,1967850.275416,-39.001000
585,327306.518302,1967850.779745,-38.922000
586,327307.025372,1967851.418382,-38.937000
587,327307.566378,1967852.057830,-38.813000
588,327308.128016,1967852.387199,-38.841000
589,327308.671592,1967852.712298,-38.851000
590,327309.241952,1967853.069260,-38.897000
591,327309.794772,1967853.359968,-38.741000
592,327310.473478,1967853.617485,-38.947000
593,327311.110834,1967853.997108,-38.879000
594,327311.757125,1967854.306926,-38.948000
595,327312.483202,1967854.647041,-38.995000
596,327313.249423,1967854.970204,-38.894000
597,327313.977815,1967855.210688,-38.852000
598,327314.686847,1967855.297496,-38.877000
599,327315.524638,1967855.315672,-38.959000
600,327316.092343,1967855.367184,-38.892000
601,327316.843256,1967855.271009,-38.988000
602,327317.524136,1967855.290548,-38.948000
603,327318.222228,1967855.338714,-38.875000
604,327318.935053,1967855.129977,-38.755000
605,327319.601190,1967854.917219,-38.884000
606,327320.264985,1967854.679026,-38.795000
607,327320.838497,1967854.544548,-38.930000
608,327321.516775,1967854.508770,-38.847000
609,327322.243325,1967854.293274,-38.740000
610,327322.984643,1967853.947048,-38.916000
611,327323.662075,1967853.813880,-38.935000
612,327324.350154,1967853.807901,-38.956000
613,327324.961266,1967853.607796,-38.965000
614,327325.609394,1967853.640901,-38.922000
615,327326.396066,1967853.511212,-38.798000
616,327327.150398,1967853.564424,-38.799000
617,327327.906923,1967853.381870,-38.805000
618,327328.647284,1967853.169575,-38.863000
619,327329.393830,1967853.180796,-38.996000
620,327330.064636,1967853.261296,-38.916000
621,327330.654421,1967853.413335,-38.854000
622,327331.325260,1967853.253662,-38.844000
623,327332.012731,1967853.299708,-38.886000
624,327332.682458,1967853.378004,-38.918000
625,327333.322583,1967853.588265,-38.952000
626,327333.941029,1967853.866229,-38.938000
627,327334.540094,1967854.110050,-38.903000
628,327335.154841,1967854.328280,-38.756000
629,327335.528594,1967854.389226,-38.984000
630,327335.979635,1967854.559072,-38.801000
631,327336.419701,1967854.564102,-38.837000
632,327336.797424,1967854.715771,-38.806000
633,327337.175745,1967854.814308,-38.836000
634,327337.612212,1967855.015271,-38.833000
635,327337.915633,1967855.157623,-38.806000
636,327338.263718,1967855.315083,-38.884000
637,327338.728702,1967855.625370,-38.948000
638,327338.995646,1967856.084581,-38.942000
639,327339.221286,1967856.671431,-38.882000
640,327339.645076,1967856.999785,-38.882000
641,327340.006100,1967857.426081,-38.913000
642,327340.401997,1967857.717047,-38.881000
643,327340.824441,1967857.890462,-38.867000
644,327341.237545,1967858.087201,-38.802000
645,327341.703631,1967858.280159,-38.906000
646,327342.076336,1967858.708568,-38.854000
647,327342.545484,1967859.009965,-38.810000
648,327342.887900,1967859.247162,-38.770000
649,327343.265115,1967859.706522,-38.936000
650,327343.669275,1967860.338306,-38.940000
651,327344.050421,1967860.883961,-38.946000
652,327344.384059,1967861.453271,-39.021000
653,327344.609007,1967861.960438,-38.885000
654,327344.730251,1967862.247149,-38.860000
655,327344.325951,1967862.819551,-39.173000
656,327344.474934,1967863.125943,-39.197000
657,327344.741627,1967863.556380,-39.235000
658,327345.042247,1967863.986522,-39.278000
659,327345.430545,1967864.501124,-39.222000
660,327345.818891,1967865.021260,-39.232000
661,327346.233636,1967865.528992,-39.217000
662,327346.534129,1967866.066493,-39.401000
663,327346.676445,1967866.703873,-39.200000
664,327346.793364,1967867.347007,-39.355000
665,327346.948429,1967868.109343,-39.349000
666,327347.100248,1967868.742213,-39.222000
667,327347.307788,1967869.320366,-39.342000
668,327348.241492,1967869.638756,-38.879000
669,327348.455566,1967870.236774,-38.931000
670,327348.681139,1967870.815878,-38.794000
671,327349.001506,1967871.322216,-38.741000
672,327349.462454,1967872.022128,-38.921000
673,327349.801782,1967872.392167,-38.825000
674,327350.020433,1967873.028883,-38.984000
675,327350.396962,1967874.019507,-38.809000
676,327350.720260,1967874.497043,-39.049000
677,327351.114260,1967875.179828,-38.997000
678,327351.844275,1967876.095439,-38.839000
679,327352.321970,1967876.526256,-38.781000
680,327352.913792,1967876.912916,-38.809000
681,327353.959848,1967877.348756,-38.762000
682,327354.553555,1967877.464237,-38.938000
683,327355.178889,1967877.924762,-38.931000
684,327356.063741,1967878.478215,-38.985000
685,327356.527097,1967878.723216,-38.796000
686,327357.282847,1967878.695621,-38.969000
687,327357.751398,1967878.928402,-38.814000
688,327358.465537,1967878.993032,-38.868000
689,327359.227393,1967879.180101,-38.806000
690,327360.122451,1967879.321741,-38.744000
691,327360.779050,1967879.353667,-38.879000
692,327361.506121,1967879.564280,-38.678000
693,327362.162326,1967879.550831,-38.845000
694,327362.898291,1967879.808959,-39.042000
695,327363.396779,1967880.070257,-38.938000
696,327363.987368,1967880.437007,-38.909000
697,327364.690912,1967880.624582,-38.909000
698,327365.575627,1967880.796195,-38.945000
699,327366.227384,1967881.003036,-38.879000
700,327366.938342,1967881.067694,-38.804000
701,327367.641597,1967881.222068,-38.884000
702,327368.447395,1967881.341241,-38.871000
703,327369.040372,1967881.372614,-38.879000
704,327369.716882,1967881.499551,-38.882000
705,327370.465858,1967881.790769,-38.940000
706,327371.399619,1967882.115800,-38.857000
707,327371.937571,1967882.159825,-38.940000
708,327372.662677,1967882.266418,-38.817000
709,327373.406204,1967882.296483,-38.971000
710,327374.277848,1967882.550112,-38.870000
711,327374.924587,1967882.545600,-38.867000
712,327375.701372,1967882.742501,-38.924000
713,327376.573454,1967882.802439,-38.797000
714,327377.575230,1967882.779348,-38.850000
715,327378.385307,1967882.902911,-39.058000
716,327379.033953,1967882.995780,-38.848000
717,327379.830726,1967883.296545,-38.905000
718,327380.597649,1967883.578754,-38.743000
719,327381.305871,1967883.572602,-38.912000
720,327382.300853,1967883.987858,-38.924000
721,327383.120575,1967884.245259,-38.915000
722,327383.902792,1967884.579354,-38.852000
723,327384.679459,1967884.884721,-38.833000
724,327385.490000,1967884.939660,-38.955000
725,327386.174291,1967885.352081,-38.841000
726,327387.085588,1967885.532319,-38.930000
727,327387.643053,1967885.747727,-38.861000
728,327388.383143,1967885.992538,-38.895000
729,327389.117692,1967886.209728,-38.990000
730,327390.000378,1967886.635921,-38.850000
731,327390.646403,1967886.671260,-38.837000
732,327391.347631,1967886.958468,-38.904000
733,327392.160876,1967887.202644,-38.850000
734,327393.166763,1967887.408623,-38.910000
735,327393.803106,1967887.672045,-38.836000
736,327394.664816,1967887.758636,-38.892000
737,327395.388952,1967888.119799,-38.884000
738,327396.303328,1967888.532436,-38.891000
739,327396.851318,1967888.755674,-38.943000
740,327397.667561,1967888.978795,-38.971000
741,327398.395435,1967889.404119,-38.884000
742,327399.178876,1967889.757020,-38.936000
743,327399.732600,1967890.030014,-38.908000
744,327400.307419,1967890.412396,-38.610000
745,327400.959373,1967890.397879,-38.943000
746,327401.702519,1967890.628276,-38.978000
747,327402.256245,1967890.779523,-38.960000
748,327402.895112,1967891.089408,-38.861000
749,327403.479652,1967891.248136,-38.907000
750,327404.285206,1967891.461389,-39.005000
751,327404.798766,1967891.749120,-38.904000
752,327405.550714,1967891.894218,-38.760000
753,327406.323616,1967892.010358,-38.920000
754,327407.054664,1967892.312802,-38.875000
755,327407.807866,1967892.358279,-38.878000
756,327408.489926,1967892.513945,-38.811000
757,327409.128469,1967892.664456,-38.862000
758,327410.026726,1967892.808284,-39.012000
759,327410.564815,1967893.112404,-38.752000
760,327411.341864,1967893.095693,-39.033000
761,327412.097963,1967893.352542,-38.790000
762,327413.084602,1967893.539873,-38.906000
763,327413.780527,1967893.460781,-38.836000
764,327414.674245,1967893.570338,-38.957000
765,327415.507300,1967893.653859,-38.719000
766,327416.439230,1967893.524018,-38.962000
767,327417.052609,1967893.585098,-38.864000
768,327417.809918,1967893.615044,-38.837000
769,327418.558066,1967893.444742,-38.963000
770,327419.512990,1967893.398817,-38.928000
771,327420.193855,1967893.539000,-38.838000
772,327421.276027,1967893.372437,-38.832000
773,327421.975777,1967893.367466,-38.965000
774,327423.014273,1967893.421534,-38.905000
775,327423.743116,1967893.225943,-38.855000
776,327424.728149,1967893.228456,-38.914000
777,327425.450442,1967893.255387,-38.811000
778,327426.247683,1967893.244035,-38.886000
779,327426.707082,1967893.277676,-38.983000
780,327427.344827,1967893.336331,-38.865000
781,327427.995810,1967893.210038,-38.930000
782,327428.709689,1967893.244789,-38.817000
783,327429.278244,1967893.150201,-38.798000
784,327429.988020,1967893.078737,-38.889000
785,327430.595768,1967893.223982,-38.886000
786,327431.240550,1967893.238304,-38.951000
787,327431.637973,1967893.338891,-38.841000
788,327432.286253,1967893.389707,-38.884000
789,327432.929273,1967893.323249,-38.848000
790,327433.674846,1967893.222697,-38.942000
791,327434.178357,1967893.330110,-38.706000
792,327434.857697,1967893.172580,-38.840000
793,327435.555903,1967893.234031,-38.986000
794,327436.318209,1967893.473117,-38.862000
795,327436.916345,1967893.366098,-38.968000
796,327437.544699,1967893.564290,-38.917000
797,327438.202335,1967893.715743,-38.906000
798,327439.068490,1967893.703794,-38.956000
799,327439.573609,1967893.874279,-38.834000
800,327440.270483,1967894.026498,-38.817000
